username,transaction_type,amount,category,description,place,date
valerie.reynolds,card,11.65,Entertainment,Concert ticket,Arcade,2021-05-22
valerie.reynolds,card,898.4,Shopping,Gifts,Retail Shop,2023-03-07
valerie.reynolds,card,65.68,Transport,Metro ticket,Taxi,2020-08-25
valerie.reynolds,cash,78.51,Health,Medical equipment,Pharmacy,2024-07-19
valerie.reynolds,cash,101.48,Bills,Mobile plan,City Services,2021-11-06
valerie.reynolds,cash,70.1,Food,Dinner,Lidl,2025-07-27
valerie.reynolds,cash,34.72,Food,Family meal,Street Food,2024-04-16
valerie.reynolds,cash,7.14,Coffee,Coffee to go,Mall Cafe,2021-01-17
valerie.reynolds,card,6.17,Coffee,Takeaway coffee,Train Station Cafe,2022-05-04
valerie.reynolds,cash,22.35,Entertainment,Evening entertainment,Subscription Service,2022-09-02
valerie.reynolds,card,214.65,Entertainment,Game purchase,Concert Hall,2023-10-30
valerie.reynolds,cash,151.95,Food,Home cooking,Food Truck,2023-11-02
valerie.reynolds,cash,313.01,Health,Specialist visit,Dental Clinic,2020-07-24
valerie.reynolds,cash,242.27,Entertainment,Movie ticket,Cinema,2022-03-08
valerie.reynolds,cash,239.72,Bills,Adjustment charge,Utility Office,2020-07-23
valerie.reynolds,card,42.86,Transport,Emergency ride,Car Wash,2025-12-08
valerie.reynolds,card,85.54,Transport,Taxi ride,Uber,2025-10-27
valerie.reynolds,cash,35.39,Transport,Monthly pass,Bolt,2024-03-11
valerie.reynolds,card,68.08,Entertainment,Bowling,Amusement Park,2021-06-10
valerie.reynolds,card,162.64,Health,Specialist visit,Rehab Center,2025-01-01
valerie.reynolds,cash,149.2,Food,Meat purchase,Local Market,2025-09-22
valerie.reynolds,card,151.38,Health,Follow-up visit,Emergency Room,2020-07-10
valerie.reynolds,cash,102.78,Entertainment,Arcade games,Event Venue,2025-12-25
valerie.reynolds,cash,695.06,Shopping,Clothes,Mobile Shop,2024-05-08
valerie.reynolds,card,41.35,Bills,Cloud service,Telecom Provider,2022-05-09
valerie.reynolds,card,35.57,Food,Party food,Pizzeria,2025-09-02
valerie.reynolds,cash,140.18,Bills,Monthly bill,Mobile Operator,2020-06-25
valerie.reynolds,card,147.01,Food,Party food,Canteen,2024-12-08
valerie.reynolds,card,3.66,Coffee,Afternoon coffee,Hipster Cafe,2020-03-19
valerie.reynolds,cash,221.7,Entertainment,Theater play,Cinema,2025-07-09
valerie.reynolds,cash,127.83,Health,Treatment,Eye Clinic,2025-02-06
valerie.reynolds,card,322.43,Health,Medication,Orthopedic Clinic,2025-08-18
valerie.reynolds,card,108.28,Bills,Extra service,Subscription Service,2024-01-11
valerie.reynolds,card,168.18,Bills,Annual fee,Hosting Provider,2025-11-08
valerie.reynolds,cash,99.06,Transport,Metro ticket,Shell,2024-07-18
valerie.reynolds,cash,66.71,Bills,Insurance payment,Internet Provider,2024-12-28
valerie.reynolds,card,141.38,Food,Meal prep,Butcher Shop,2024-10-21
valerie.reynolds,cash,103.94,Transport,Train ticket,OMV,2025-12-13
valerie.reynolds,card,2.34,Coffee,Coffee with milk,Office Cafe,2020-10-08
valerie.reynolds,card,143.02,Entertainment,Night out,Leisure Center,2024-09-01
valerie.reynolds,card,169.08,Entertainment,Digital purchase,Cinema,2022-05-09
valerie.reynolds,card,114.15,Transport,Single ride,Gas Station,2021-06-02
valerie.reynolds,cash,30.49,Transport,Monthly pass,Taxi,2021-05-25
valerie.reynolds,cash,91.54,Bills,Insurance payment,Internet Provider,2025-01-05
valerie.reynolds,cash,1070.69,Shopping,Electronics,Clothing Store,2022-01-26
valerie.reynolds,cash,140.45,Food,Bulk food,Pizzeria,2023-08-15
valerie.reynolds,card,127.9,Food,Bulk food,Food Truck,2021-03-27
valerie.reynolds,cash,6.89,Coffee,Americano,Downtown Cafe,2022-06-10
valerie.reynolds,card,63.78,Food,Seafood,Aldi,2025-11-22
valerie.reynolds,cash,183.9,Entertainment,Game purchase,Museum,2023-04-28
valerie.reynolds,cash,30.24,Bills,Adjustment charge,Insurance Office,2022-09-01
valerie.reynolds,card,5.59,Coffee,Coffee to go,Train Station Cafe,2024-04-05
valerie.reynolds,cash,5.12,Coffee,Black coffee,Train Station Cafe,2023-08-30
valerie.reynolds,card,28.08,Food,Seafood,Supermarket,2024-10-20
valerie.reynolds,card,74.92,Transport,Fuel,BP,2021-02-17
valerie.reynolds,card,300.67,Health,Doctor visit,Clinic,2020-05-18
valerie.reynolds,cash,2.75,Coffee,Strong coffee,Coffee Truck,2020-05-12
valerie.reynolds,card,164.26,Bills,Service charge,Bank Service,2022-10-19
valerie.reynolds,card,68.96,Food,Fresh vegetables,Fast Food,2023-11-09
valerie.reynolds,cash,95.76,Food,Ready meals,Supermarket,2021-05-10
valerie.reynolds,cash,77.11,Bills,Gas bill,Electric Company,2024-01-18
valerie.reynolds,card,168.16,Food,Frozen food,Canteen,2023-03-19
valerie.reynolds,cash,4.59,Coffee,Americano,University Cafe,2023-05-30
valerie.reynolds,card,85.49,Food,Dinner,Canteen,2020-05-31
valerie.reynolds,cash,326.63,Shopping,Replacement item,Department Store,2021-03-16
valerie.reynolds,card,101.22,Transport,Train ticket,Bike Rental,2020-01-21
valerie.reynolds,card,27.29,Food,Home cooking,Canteen,2022-02-20
valerie.reynolds,card,157.46,Entertainment,Digital purchase,Amusement Park,2023-06-30
valerie.reynolds,card,117.83,Health,Medical care,Dental Clinic,2021-02-11
valerie.reynolds,card,46.07,Food,Quick bite,Lidl,2022-07-21
valerie.reynolds,cash,8.09,Coffee,Quick coffee,Coffee Lounge,2020-06-30
valerie.reynolds,cash,182.51,Entertainment,Club entry,Festival,2025-10-15
valerie.reynolds,card,468.34,Shopping,Replacement item,Furniture Store,2020-02-05
valerie.reynolds,cash,49.39,Food,Groceries,Aldi,2023-12-15
valerie.reynolds,card,181.98,Entertainment,Sports event,Gallery,2022-12-09
valerie.reynolds,card,537.32,Shopping,Furniture,Electronics Store,2022-04-22
valerie.reynolds,cash,63.4,Entertainment,Night out,Leisure Center,2023-12-11
valerie.reynolds,card,74.31,Health,Prescription drugs,Health Center,2022-11-13
valerie.reynolds,cash,206.17,Entertainment,Evening entertainment,Subscription Service,2024-05-17
valerie.reynolds,card,7.87,Coffee,Sweet coffee,Bakery Cafe,2021-11-26
valerie.reynolds,cash,42.39,Food,Quick bite,Aldi,2020-11-27
valerie.reynolds,cash,214.6,Bills,Mobile plan,Service Provider,2020-09-16
valerie.reynolds,card,567.65,Shopping,Fashion items,Discount Store,2022-07-20
valerie.reynolds,cash,4.65,Coffee,Americano,Downtown Cafe,2021-10-27
valerie.reynolds,card,84.48,Transport,Ride sharing,BP,2023-03-17
valerie.reynolds,card,4.16,Coffee,Coffee with milk,Morning Cafe,2025-07-24
valerie.reynolds,card,235.42,Entertainment,Evening entertainment,Event Venue,2023-08-22
valerie.reynolds,card,177.94,Entertainment,Concert ticket,Bar,2023-12-05
valerie.reynolds,card,948.45,Shopping,Accessories,Department Store,2024-07-24
valerie.reynolds,card,618.01,Shopping,Electronics,Clothing Store,2020-08-26
valerie.reynolds,card,96.76,Entertainment,Movie ticket,Gallery,2020-03-09
valerie.reynolds,cash,31.15,Health,Follow-up visit,Specialist Clinic,2024-03-25
valerie.reynolds,card,169.89,Bills,Late fee,Heating Provider,2024-01-19
valerie.reynolds,card,299.56,Bills,Contract payment,Energy Provider,2023-05-01
valerie.reynolds,card,537.74,Shopping,Seasonal shopping,Toy Store,2021-03-18
valerie.reynolds,card,214.29,Entertainment,Bowling,Event Venue,2023-05-28
valerie.reynolds,card,111.0,Health,Treatment,Dental Clinic,2020-03-16
valerie.reynolds,card,30.33,Health,Health consultation,Pharmacy,2024-11-02
valerie.reynolds,cash,24.59,Transport,Long distance travel,Gas Station,2024-04-10
valerie.reynolds,cash,171.62,Food,Family meal,Spar,2020-06-09
valerie.reynolds,cash,7.36,Coffee,Specialty coffee,Office Cafe,2025-10-18
valerie.reynolds,cash,105.05,Food,Family meal,Restaurant,2023-09-15
valerie.reynolds,cash,138.12,Entertainment,Theater play,Festival,2023-11-01
valerie.reynolds,card,209.59,Health,Emergency visit,Rehab Center,2021-11-02
valerie.reynolds,card,338.42,Health,Dental check,Dermatology Clinic,2022-11-28
valerie.reynolds,card,26.47,Shopping,Clothes,Gift Shop,2025-11-19
valerie.reynolds,cash,110.69,Food,Snack,Lidl,2022-09-20
valerie.reynolds,card,2.72,Coffee,Coffee meeting,Bookstore Cafe,2021-01-12
valerie.reynolds,cash,80.32,Health,Medical exam,Eye Clinic,2022-02-01
valerie.reynolds,card,136.93,Transport,Short trip,Ferry,2022-12-08
valerie.reynolds,card,71.04,Shopping,Decorations,Electronics Store,2025-10-03
valerie.reynolds,cash,198.94,Entertainment,Museum entry,Theater,2022-06-07
valerie.reynolds,card,2.13,Coffee,Flat white,Bookstore Cafe,2023-06-02
valerie.reynolds,card,71.66,Food,Quick bite,Burger Place,2023-06-19
valerie.reynolds,cash,3.41,Coffee,Cold brew,University Cafe,2022-04-21
valerie.reynolds,card,131.0,Bills,Adjustment charge,Energy Provider,2022-04-28
valerie.reynolds,cash,108.89,Transport,Transport service,Gas Station,2025-11-10
valerie.reynolds,cash,132.11,Food,Bulk food,Canteen,2023-06-30
valerie.reynolds,card,251.64,Health,Therapy session,Rehab Center,2023-11-15
valerie.reynolds,card,107.73,Food,Quick bite,Spar,2024-05-01
valerie.reynolds,cash,195.2,Entertainment,Theater play,Escape Room,2022-10-01
valerie.reynolds,card,4.15,Coffee,Cappuccino,University Cafe,2024-07-30
valerie.reynolds,card,149.6,Entertainment,Night out,Amusement Park,2020-09-29
valerie.reynolds,card,253.34,Health,Follow-up visit,Eye Clinic,2020-03-28
valerie.reynolds,cash,110.43,Transport,Train ticket,Train Station,2020-01-05
valerie.reynolds,cash,220.16,Entertainment,Arcade games,Theater,2022-05-01
valerie.reynolds,card,213.13,Shopping,Household items,Bookstore,2020-03-25
valerie.reynolds,cash,216.34,Bills,Late fee,Electric Company,2025-08-05
valerie.reynolds,card,1159.83,Shopping,Online order,Tech Store,2025-10-31
valerie.reynolds,cash,107.57,Transport,Taxi ride,Bus Station,2023-08-16
valerie.reynolds,cash,368.28,Health,Follow-up visit,Mental Health Clinic,2021-08-05
valerie.reynolds,cash,26.53,Bills,Annual fee,Waste Management,2022-09-29
valerie.reynolds,cash,138.99,Health,Prescription drugs,Health Shop,2022-08-11
valerie.reynolds,card,10.3,Entertainment,Sports event,Bowling Alley,2023-11-03
valerie.reynolds,card,41.54,Food,Home cooking,Restaurant,2020-01-27
valerie.reynolds,card,347.89,Health,Medical exam,Private Doctor,2022-12-27
valerie.reynolds,cash,20.71,Transport,Vehicle rental,Taxi,2024-05-09
valerie.reynolds,card,102.51,Transport,Car wash,Shell,2023-10-24
valerie.reynolds,cash,287.24,Health,Routine check,Emergency Room,2020-03-23
valerie.reynolds,cash,146.13,Shopping,Replacement item,Accessory Shop,2020-07-03
valerie.reynolds,card,42.16,Entertainment,Evening entertainment,Gallery,2025-05-07
valerie.reynolds,cash,8.83,Entertainment,Weekend fun,Bar,2022-07-18
valerie.reynolds,card,33.5,Entertainment,Digital purchase,Escape Room,2025-11-20
valerie.reynolds,card,42.95,Food,Ready meals,Aldi,2021-01-20
valerie.reynolds,cash,141.73,Bills,Gas bill,Hosting Provider,2024-04-10
valerie.reynolds,cash,2.19,Coffee,Quick coffee,Bakery Cafe,2025-10-19
valerie.reynolds,cash,76.29,Transport,Fuel,Bike Rental,2023-10-25
valerie.reynolds,card,11.34,Entertainment,Game purchase,Gaming Store,2021-04-30
valerie.reynolds,card,224.97,Bills,Late fee,Service Provider,2020-06-26
valerie.reynolds,card,49.32,Food,Frozen food,Local Market,2021-01-23
valerie.reynolds,card,167.14,Health,Vitamins,Medical Center,2022-05-25
valerie.reynolds,card,62.47,Food,Party food,Fish Market,2024-06-29
valerie.reynolds,cash,338.43,Health,Lab analysis,Medical Center,2021-06-11
valerie.reynolds,card,313.88,Bills,Utility payment,Utility Office,2020-12-24
valerie.reynolds,cash,109.66,Transport,Metro ticket,Car Wash,2022-11-12
valerie.reynolds,card,85.03,Health,Lab analysis,Health Center,2022-12-28
valerie.reynolds,cash,179.88,Food,Lunch,Kaufland,2025-12-23
valerie.reynolds,card,645.35,Shopping,Personal items,Clothing Store,2021-04-26
valerie.reynolds,cash,238.29,Bills,Insurance payment,Electric Company,2022-03-11
valerie.reynolds,card,220.69,Entertainment,Digital purchase,Festival,2020-11-25
valerie.reynolds,cash,109.31,Bills,Water bill,Mobile Operator,2025-12-04
valerie.reynolds,card,6.27,Coffee,Sweet coffee,Local Coffee Shop,2023-09-03
valerie.reynolds,card,1166.01,Shopping,Office supplies,Outlet Store,2024-05-25
valerie.reynolds,card,7.28,Coffee,Takeaway coffee,Local Coffee Shop,2020-02-06
valerie.reynolds,card,159.04,Food,Takeaway,Spar,2025-11-24
valerie.reynolds,cash,119.67,Food,Takeaway,Butcher Shop,2023-09-02
valerie.reynolds,card,93.3,Bills,Recurring payment,Internet Provider,2022-09-21
valerie.reynolds,card,68.43,Transport,Taxi ride,Scooter Rental,2022-01-17
valerie.reynolds,cash,126.92,Bills,Adjustment charge,City Services,2020-04-18
valerie.reynolds,cash,118.88,Food,Home cooking,Italian Restaurant,2023-08-31
valerie.reynolds,cash,141.56,Entertainment,Event entry,Night Club,2021-01-12
valerie.reynolds,cash,217.49,Entertainment,Game purchase,Leisure Center,2024-11-18
valerie.reynolds,cash,126.24,Food,Meal prep,Burger Place,2022-04-18
valerie.reynolds,cash,13.13,Food,Quick bite,Organic Store,2024-11-28
valerie.reynolds,cash,118.32,Food,Late night food,Lidl,2021-07-11
valerie.reynolds,card,149.38,Bills,Recurring payment,TV Provider,2022-03-10
valerie.reynolds,cash,93.2,Transport,Parking fee,Bolt,2022-08-12
valerie.reynolds,cash,81.24,Shopping,Shoes,Accessory Shop,2020-06-17
valerie.reynolds,card,2.54,Coffee,Morning coffee,Coffee Corner,2025-05-26
valerie.reynolds,card,73.11,Bills,Late fee,Gas Provider,2024-11-21
valerie.reynolds,card,84.83,Food,Seafood,Italian Restaurant,2022-03-08
valerie.reynolds,cash,2.6,Coffee,Coffee meeting,Coffee Truck,2024-10-16
valerie.reynolds,card,6.66,Coffee,Coffee with milk,Coffee House,2025-08-26
valerie.reynolds,cash,36.61,Health,Medical exam,Eye Clinic,2022-07-17
valerie.reynolds,cash,323.24,Bills,Internet bill,Electric Company,2023-07-11
valerie.reynolds,cash,96.59,Shopping,Big purchase,Mobile Shop,2024-09-06
valerie.reynolds,cash,10.13,Food,Dinner,Italian Restaurant,2020-11-27
valerie.reynolds,card,89.33,Food,Lunch,Local Market,2025-01-14
valerie.reynolds,cash,6.5,Transport,Emergency ride,Bolt,2025-05-01
valerie.reynolds,card,74.28,Transport,Ride sharing,Scooter Rental,2021-01-13
valerie.reynolds,cash,296.62,Bills,Insurance payment,Waste Management,2021-07-16
valerie.reynolds,card,4.41,Coffee,Double espresso,Coffee Lounge,2022-02-28
valerie.reynolds,card,322.13,Bills,Gas bill,Streaming Service,2024-07-02
valerie.reynolds,card,57.03,Shopping,Accessories,Bookstore,2021-12-03
valerie.reynolds,cash,129.71,Transport,Long distance travel,Bus Station,2020-12-24
valerie.reynolds,card,2.77,Coffee,Coffee with milk,Office Cafe,2021-02-26
valerie.reynolds,card,49.18,Bills,Adjustment charge,Waste Management,2024-07-25
valerie.reynolds,card,294.15,Shopping,Shoes,Discount Store,2023-05-15
valerie.reynolds,card,350.27,Health,Dental check,Hospital,2025-12-16
valerie.reynolds,card,6.77,Coffee,Quick coffee,Late Night Cafe,2022-06-17
valerie.reynolds,card,5.54,Coffee,Double espresso,Coffee Lounge,2022-08-20
valerie.reynolds,cash,329.46,Health,Medical tests,Medical Center,2024-08-09
valerie.reynolds,card,174.96,Entertainment,Sports event,Bowling Alley,2025-12-06
valerie.reynolds,cash,236.5,Bills,Maintenance fee,Waste Management,2025-04-04
valerie.reynolds,card,100.83,Food,Frozen food,Supermarket,2022-09-19
valerie.reynolds,card,5.23,Coffee,Cappuccino,Cafe Bar,2020-12-12
valerie.reynolds,card,772.86,Shopping,Clothes,Online Shop,2025-03-11
valerie.reynolds,card,7.3,Coffee,Sweet coffee,Specialty Coffee,2023-03-06
valerie.reynolds,card,146.35,Entertainment,Festival ticket,Leisure Center,2024-10-30
valerie.reynolds,card,146.5,Entertainment,Sports event,Escape Room,2021-12-06
valerie.reynolds,card,7.35,Coffee,Cappuccino,Coffee Lounge,2020-01-30
valerie.reynolds,cash,19.5,Food,Weekly shopping,Pizzeria,2023-04-14
valerie.reynolds,cash,7.46,Coffee,Americano,Coffee Lounge,2023-12-06
valerie.reynolds,card,8.3,Coffee,Strong coffee,Bakery Cafe,2024-07-14
valerie.reynolds,cash,4.05,Coffee,Coffee with milk,Bakery Cafe,2020-07-10
valerie.reynolds,cash,164.86,Health,Vitamins,Health Shop,2023-03-23
valerie.reynolds,cash,16.16,Food,Frozen food,Restaurant,2021-10-17
valerie.reynolds,cash,31.91,Bills,Service charge,City Services,2025-11-19
valerie.reynolds,card,118.07,Bills,Cloud service,Streaming Service,2022-08-02
valerie.reynolds,cash,5.89,Coffee,Takeaway coffee,Late Night Cafe,2025-08-25
valerie.reynolds,cash,87.22,Food,Snack,Restaurant,2023-03-27
valerie.reynolds,card,33.47,Food,Ready meals,Asian Restaurant,2020-03-20
valerie.reynolds,cash,295.9,Bills,Electricity bill,Subscription Service,2020-08-01
valerie.reynolds,cash,127.22,Transport,Commute,Car Rental,2024-04-14
valerie.reynolds,card,92.62,Food,Dinner,Burger Place,2022-03-15
valerie.reynolds,cash,117.52,Transport,Monthly pass,Bus Station,2022-03-18
valerie.reynolds,card,598.65,Shopping,New phone,Department Store,2021-07-26
valerie.reynolds,cash,7.29,Coffee,Flat white,Coffee Corner,2023-06-19
valerie.reynolds,card,24.75,Transport,Single ride,BP,2024-02-21
valerie.reynolds,card,103.73,Entertainment,Game purchase,Bowling Alley,2023-05-05
valerie.reynolds,cash,112.64,Transport,Taxi ride,Taxi,2023-12-23
valerie.reynolds,cash,143.86,Entertainment,Sports event,Night Club,2022-05-29
valerie.reynolds,cash,111.93,Bills,Water bill,Subscription Service,2024-07-30
valerie.reynolds,cash,355.28,Shopping,Impulse buy,Furniture Store,2023-07-21
valerie.reynolds,card,440.02,Shopping,Gifts,Retail Shop,2025-12-01
valerie.reynolds,cash,74.52,Shopping,Electronics,Tech Store,2023-12-10
valerie.reynolds,card,52.69,Entertainment,Online content,Gaming Store,2025-10-24
valerie.reynolds,cash,12.73,Transport,Transport service,Fuel Station,2022-06-09
valerie.reynolds,cash,337.86,Shopping,Online order,Jewelry Store,2022-04-28
valerie.reynolds,card,84.86,Food,Snack,Restaurant,2022-06-27
valerie.reynolds,card,136.65,Food,Organic food,Canteen,2025-04-22
valerie.reynolds,cash,8.91,Coffee,Americano,Coffee House,2023-07-10
valerie.reynolds,cash,628.33,Shopping,Furniture,Electronics Store,2023-06-06
valerie.reynolds,cash,193.54,Entertainment,Club entry,Festival,2020-10-17
valerie.reynolds,cash,6.95,Coffee,Sweet coffee,Work Cafe,2021-08-29
valerie.reynolds,cash,107.57,Food,Lunch,Aldi,2025-12-10
valerie.reynolds,card,323.17,Health,Routine check,Orthopedic Clinic,2025-06-10
valerie.reynolds,card,487.68,Shopping,Toys,Jewelry Store,2025-08-13
valerie.reynolds,cash,3.22,Coffee,Cappuccino,Local Coffee Shop,2020-10-16
valerie.reynolds,cash,197.21,Health,Therapy session,Wellness Center,2024-11-05
valerie.reynolds,card,120.54,Transport,Monthly pass,Bolt,2022-10-02
valerie.reynolds,card,252.77,Health,Health consultation,Physiotherapy,2024-06-18
valerie.reynolds,card,119.46,Entertainment,Entertainment fee,Festival,2021-12-05
valerie.reynolds,cash,130.58,Entertainment,Leisure activity,Night Club,2023-11-02
valerie.reynolds,card,132.41,Health,Health consultation,Eye Clinic,2020-03-11
valerie.reynolds,cash,590.03,Shopping,Shoes,Toy Store,2025-10-27
valerie.reynolds,card,54.6,Food,Meal prep,Italian Restaurant,2020-01-05
valerie.reynolds,card,1076.56,Shopping,Household items,Toy Store,2025-09-30
valerie.reynolds,cash,15.46,Transport,Short trip,Shell,2022-11-29
valerie.reynolds,card,68.57,Entertainment,Weekend fun,Gallery,2022-10-25
valerie.reynolds,card,401.8,Shopping,Furniture,Discount Store,2023-06-28
valerie.reynolds,card,15.1,Transport,Single ride,Fuel Station,2021-08-13
valerie.reynolds,cash,5.15,Coffee,Latte,Morning Cafe,2023-10-20
valerie.reynolds,card,41.21,Transport,Monthly pass,Public Transport,2021-09-27
valerie.reynolds,card,323.18,Bills,Electricity bill,Insurance Office,2022-08-17
valerie.reynolds,card,20.37,Transport,Vehicle rental,Train Station,2021-03-25
valerie.reynolds,card,329.14,Health,Medication,Dermatology Clinic,2024-10-14
valerie.reynolds,card,194.34,Bills,Insurance payment,Water Utility,2025-03-26
valerie.reynolds,cash,42.02,Bills,Service charge,Bank Service,2022-12-11
valerie.reynolds,card,3.84,Coffee,Latte,Hipster Cafe,2023-03-27
valerie.reynolds,cash,34.47,Entertainment,Museum entry,Night Club,2025-07-29
valerie.reynolds,cash,80.12,Transport,Metro ticket,BP,2021-10-05
valerie.reynolds,cash,2.23,Coffee,Coffee to go,Coffee Truck,2024-09-28
valerie.reynolds,card,20.1,Food,Seafood,Local Market,2020-07-01
valerie.reynolds,card,118.86,Entertainment,Entertainment fee,Subscription Service,2023-08-14
valerie.reynolds,card,163.92,Health,Health consultation,Medical Store,2025-04-18
valerie.reynolds,card,202.42,Entertainment,Festival ticket,Event Venue,2022-06-02
valerie.reynolds,card,8.39,Transport,Parking fee,OMV,2022-03-06
valerie.reynolds,card,42.06,Shopping,Gifts,Fashion Boutique,2024-08-14
valerie.reynolds,card,77.83,Bills,Internet bill,Waste Management,2021-09-03
valerie.reynolds,cash,8.0,Coffee,Espresso,Bookstore Cafe,2025-04-23
valerie.reynolds,cash,320.82,Bills,Annual fee,Service Provider,2023-07-31
valerie.reynolds,cash,249.48,Entertainment,Concert ticket,Event Venue,2024-03-31
valerie.reynolds,cash,75.4,Transport,Highway toll,Shell,2022-08-17
valerie.reynolds,card,62.63,Transport,Short trip,Parking Garage,2020-12-19
valerie.reynolds,card,263.72,Shopping,Big purchase,Clothing Store,2023-08-22
valerie.reynolds,cash,7.55,Entertainment,Night out,Theater,2025-09-28
valerie.reynolds,cash,225.47,Health,Treatment,Specialist Clinic,2022-12-11
valerie.reynolds,cash,161.57,Bills,Water bill,Property Management,2025-09-29
valerie.reynolds,card,218.71,Entertainment,Club entry,Music Club,2025-05-26
valerie.reynolds,cash,185.22,Health,Vaccination,Eye Clinic,2020-06-11
valerie.reynolds,card,1102.11,Shopping,Office supplies,Home Store,2021-09-05
valerie.reynolds,card,93.96,Health,Medical tests,Laboratory,2020-08-25
valerie.reynolds,cash,168.91,Food,Family meal,Street Food,2022-12-22
valerie.reynolds,cash,8.26,Coffee,Latte,University Cafe,2024-12-22
valerie.reynolds,cash,60.11,Transport,Parking fee,Uber,2021-07-15
valerie.reynolds,cash,196.14,Health,Medical exam,Specialist Clinic,2023-01-08
valerie.reynolds,cash,2.14,Coffee,Black coffee,Hipster Cafe,2020-10-20
